day_number,class_level,topic,q1_text,q1_a,q1_b,q1_c,q1_correct,q2_text,q2_a,q2_b,q2_c,q2_correct,q3_text,q3_a,q3_b,q3_c,q3_correct
30,9,Ultimate Challenge: Build a physics model explaining a real-world phenomenon,What is the first step when building a scientific model to explain a real-world phenomenon?,Identify and clearly describe the phenomenon you want to explain before introducing any theory,"Write the mathematical equations first, then find a phenomenon that matches the formula",Search for an existing model online and apply it directly without any personalised adaptation,q1_a,Why is identifying the mechanism within a physics model more useful than just stating what happens?,Stating what happens is sufficient for full marks in all Class 9 physics assessments,A mechanism explains cause-and-effect and allows prediction in new situations,Physics models are decorative tools that visualise results without needing explanatory depth,q2_b,"If your physics model made a prediction that did not match experimental data, what should you do?",Discard the experiment results because a well-built model is always more reliable than data,Accept the mismatch as proof that the phenomenon is too complex for any scientific model,Revise the model to account for the new evidence and test the updated prediction again,q3_c
1,10,Chemical reactions happening inside your body,Which chemical process inside your body breaks glucose into energy?,Cellular respiration converts glucose into ATP energy,Photosynthesis converts glucose into oxygen and water,Fermentation converts glucose into starch for storage,q1_a,Why is understanding the mechanism of a reaction more useful than just knowing the result?,Because memorised results are always accurate and never need explaining,A mechanism reveals cause-and-effect chains and allows prediction in new situations,Because mechanisms are simpler to write down than results,q2_b,What would happen to body reactions if body temperature dropped significantly?,Enzyme activity would increase because cold speeds up molecular collisions,Chemical reactions would remain unchanged since temperature does not matter,"Enzyme activity would slow down, reducing the rate of metabolic reactions",q3_c
2,10,How do we know a chemical reaction occurred?,Which observation is a reliable sign that a chemical reaction has occurred?,A new substance is formed with different properties than the reactants,The mixture changes its container shape but stays the same substance,The colour of the container changes but the chemicals remain the same,q1_a,Why does identifying the mechanism of a reaction matter more than memorising the result?,Because results are impossible to verify without laboratory equipment,Understanding mechanism lets you predict outcomes in unfamiliar situations,Because the mechanism is always more colourful and easy to observe,q2_b,What would happen to observable signs of reaction if you removed heat from an exothermic reaction?,The reaction would speed up because less energy is wasted,The reaction signs would remain unchanged as heat is not a reactant,The reaction rate would slow and temperature rise would be smaller,q3_c
3,10,Acids and bases inside everyday life,What property defines an acid according to its behaviour in water?,An acid releases hydrogen ions (H+) when dissolved in water,An acid releases hydroxide ions (OH-) when dissolved in water,An acid absorbs all surrounding moisture and turns blue litmus red,q1_a,Why is understanding the acid-base mechanism more useful than just knowing pH numbers?,Because pH numbers are not measurable in everyday kitchen experiments,The mechanism explains why neutralisation occurs and lets you predict reactions,Because the mechanism requires no mathematics and is simpler to use,q2_b,What would happen if you added more acid to a neutral salt solution?,The solution would remain neutral because salt buffers all added acids,The solution would turn basic because acid converts salts to bases,The pH would drop below 7 and the solution would become acidic again,q3_c
4,10,Why does antacid work?,How does antacid relieve acidity in the stomach?,Antacid neutralises excess stomach acid through an acid-base reaction,Antacid absorbs all food in the stomach to prevent acid production,Antacid lowers body temperature so stomach cells stop producing acid,q1_a,Why is knowing the neutralisation mechanism more useful than just knowing antacids help?,Because all antacids have identical chemical formulas and work identically,The mechanism explains which bases work and predicts how much to take,Because the mechanism is printed on packaging and removes guesswork,q2_b,What would happen if too much antacid were taken?,The stomach pH would remain at 2 because the body regulates acidity strictly,More acid would be produced to compensate for the neutralised acid,"The stomach would become too alkaline, causing discomfort and digestive problems",q3_c
5,10,Metals: why are they useful?,Which property of metals makes them useful for electrical wiring?,Metals have free electrons that allow easy conduction of electricity,Metals have tightly bound electrons that block electrical current flow,Metals conduct electricity because they are transparent to photons,q1_a,Why is understanding the metallic bonding mechanism more useful than listing metal uses?,Because listing uses requires memorisation while mechanism requires no memory,"The mechanism explains conductivity, malleability and ductility all at once",Because metallic bonding is the same in all materials including plastics,q2_b,What would happen to a metal's conductivity if its free electrons were removed?,Conductivity would increase because fewer electrons create less resistance,The metal would conduct only heat but not electricity without free electrons,The metal would lose conductivity and behave more like an insulator,q3_c
6,10,Why does corrosion happen?,What causes iron to corrode (rust) when exposed to air and moisture?,Iron reacts with oxygen and water to form iron oxide (rust),Iron reacts with nitrogen in air to form a brittle iron nitride layer,"Iron loses carbon atoms to the atmosphere, weakening its structure",q1_a,Why is understanding the oxidation mechanism of corrosion more useful than noting it happens?,Because all metals corrode identically so the mechanism is universal,Knowing the mechanism explains which conditions accelerate or prevent corrosion,Because the mechanism proves corrosion is beneficial and should not be stopped,q2_b,What would happen to iron corrosion if oxygen were completely removed from the environment?,Corrosion would accelerate because iron reacts faster without oxygen competition,The rate of rusting would stay the same as moisture is the only factor,Corrosion would stop or greatly slow because oxygen is essential for rusting,q3_c
7,10,How can corrosion be prevented?,Which method prevents corrosion by coating iron with a sacrificial metal?,"Galvanisation coats iron with zinc, which corrodes preferentially instead",Anodisation coats iron with copper to create a decorative barrier,Electroplating coats iron with carbon to block all chemical reactions,q1_a,Why is understanding the protective mechanism more important than just listing prevention methods?,Because prevention methods never work and understanding explains why,The mechanism reveals why some coatings fail over time while others succeed,Because all prevention methods use identical chemical principles anyway,q2_b,What would happen if a zinc coating on galvanised steel got scratched deeply?,The iron would rust immediately because scratching removes all protection,The iron would become more resistant because scratching hardens the surface,"Zinc would still corrode preferentially, protecting the exposed iron nearby",q3_c
8,10,Carbon: the element behind life,Why is carbon called the element behind life?,"Carbon forms four covalent bonds, enabling complex chains and ring structures",Carbon is the heaviest element and sinks to the core of all living cells,Carbon is the most abundant element in Earth's crust and atmosphere,q1_a,Why is understanding carbon's bonding mechanism more useful than memorising its uses?,Because memorised uses of carbon apply only to diamond and graphite,The bonding mechanism explains why carbon forms millions of different compounds,Because carbon's uses change annually so only the mechanism stays relevant,q2_b,What would happen to life on Earth if carbon could only form two bonds instead of four?,Life would be more complex because simpler atoms create more diverse molecules,Life would remain the same because bond number does not affect molecule diversity,"Carbon could not form complex molecules, making most biological molecules impossible",q3_c
9,10,Why can carbon form millions of compounds?,What unique property of carbon allows it to form millions of compounds?,"Carbon can bond with itself and other atoms in chains, branches and rings","Carbon has the highest atomic mass among non-metals, allowing many reactions","Carbon exists in liquid form at room temperature, enabling flexible bonding",q1_a,Why does understanding carbon's catenation mechanism matter more than listing compounds?,Because listing compounds is impossible since there are millions of them,The catenation mechanism explains why carbon chemistry underlies all organic life,Because catenation only applies to carbon and cannot explain anything else,q2_b,What would happen to the variety of organic compounds if carbon could not bond to itself?,The variety would increase because carbon would form stronger bonds with other atoms,The number of compounds would stay the same since other atoms form chains too,Organic chemistry would be extremely limited with very few carbon compounds possible,q3_c
10,10,How soap actually removes dirt,How does soap remove oil-based dirt from skin?,Soap molecules have a water-loving head and oil-loving tail that trap dirt,Soap dissolves all oils by converting them into water-soluble acids,"Soap neutralises all dirt chemically, breaking it down into harmless gases",q1_a,Why is understanding the micelle mechanism of soap more useful than knowing it cleans?,Because micelles are visible to the naked eye and easy to demonstrate,The mechanism explains why soap works on oil but water alone cannot remove it,Because the mechanism proves that any liquid can replace soap for cleaning,q2_b,What would happen to soap's cleaning ability in hard water with high mineral content?,Soap would clean more efficiently because minerals help break down grease,Soap would clean identically because water hardness does not affect micelles,Soap would lose effectiveness because minerals react with it to form scum,q3_c
11,10,How does DNA store information?,How does DNA store genetic information?,"DNA stores information as sequences of four chemical bases: A, T, G, and C",DNA stores information as electrical charges along its sugar-phosphate backbone,DNA stores information through its double-helix shape and overall length,q1_a,Why is understanding the base-sequence mechanism of DNA storage more useful than just knowing DNA exists?,Because knowing DNA exists is sufficient for understanding all genetic diseases,The mechanism explains how mutations cause disease and how genes are read,Because the mechanism proves DNA is the same in all living organisms always,q2_b,What would happen if a single base in a critical gene were changed by mutation?,Nothing would change because single base changes are always self-correcting,The entire chromosome would be destroyed by the cell's repair mechanisms,"A different amino acid could be incorporated, potentially altering protein function",q3_c
12,10,How are proteins produced from DNA instructions?,What is the correct sequence for protein production from DNA?,"DNA is transcribed into mRNA, which is translated into a protein at ribosomes",DNA is directly converted into proteins inside the nucleus without any intermediary,Proteins are copied directly from existing proteins using DNA as a guide only,q1_a,Why is understanding transcription and translation more useful than just knowing proteins come from DNA?,Because transcription and translation are only relevant for bacterial cells,The mechanism reveals why drugs targeting ribosomes can stop bacterial protein synthesis,Because translation is the only step that matters; transcription is just copying,q2_b,What would happen to protein production if ribosomes in a cell were destroyed?,Protein production would increase because the cell uses mitochondria as backup,Protein production would continue normally since DNA can produce proteins directly,Protein synthesis would halt completely because ribosomes are where mRNA is translated,q3_c
13,10,Why are offspring similar but not identical?,Why do sexually reproducing offspring resemble parents but are not identical?,Each parent contributes half the chromosomes; random gene combinations create variation,Offspring are identical to one parent but not the other due to dominant genes,Environmental factors during growth cause minor changes to inherited DNA sequences,q1_a,Why is understanding genetic variation mechanisms more useful than just noting family resemblances?,Because family resemblances are obvious and need no scientific explanation,"The mechanism explains inherited diseases, evolution and why siblings differ",Because the mechanism proves all siblings receive exactly 50% of each gene,q2_b,What would happen to variation if organisms reproduced only asexually?,Variation would increase because asexual reproduction allows more mutations,Variation would be the same because mutations occur at the same rate either way,Variation would decrease dramatically because offspring would be genetic clones,q3_c
14,10,How does natural selection work?,What is the core mechanism of natural selection?,Individuals with traits better suited to the environment survive and reproduce more,Organisms choose to develop useful traits when the environment demands it,The environment directly mutates DNA to match what each organism needs,q1_a,Why is understanding natural selection's mechanism more useful than just knowing evolution happens?,Because knowing evolution happens is all that is needed to pass exams,The mechanism predicts why antibiotic resistance evolves in bacteria populations,Because the mechanism proves evolution only applies to large visible animals,q2_b,What would happen to a trait in a population if it reduced reproductive success?,The trait would spread faster because disadvantaged individuals breed more,The trait would remain stable in the population indefinitely through genetic drift,The trait would become rarer over generations as fewer carriers pass it on,q3_c
15,10,Could humans evolve into a new species?,What condition is necessary for a new species to evolve from an existing one?,Reproductive isolation separating populations so gene flow stops between them,A deliberate genetic engineering programme decided by scientists over centuries,A sudden massive mutation changing all chromosomes in one generation,q1_a,Why is understanding speciation mechanism more useful than just wondering if humans will change?,Because speciation never actually happens and is only a theoretical concept,"The mechanism explains how isolation, mutation and selection combine to create species",Because the mechanism proves humans are the final evolutionary product and will not change,q2_b,What would happen to speciation rate if two human populations were permanently isolated?,Speciation would be impossible because humans have too large a genome,The populations would remain genetically identical even after millions of years,Genetic differences would accumulate over many generations and speciation could occur,q3_c
16,10,How does the human nervous system work?,What is the basic unit of the nervous system that transmits signals?,The neuron transmits electrical impulses along its axon to other cells,The synapse is the cell that generates and carries all nerve impulses,The myelin sheath is the cell responsible for sending nervous system signals,q1_a,Why is understanding nerve signal transmission more useful than knowing the nervous system exists?,Because the nervous system is only relevant in medical emergencies and surgery,"The mechanism explains reflex arcs, drug effects and neurological disease origins",Because the transmission mechanism is identical in all animals including insects,q2_b,What would happen to nerve signal speed if myelin sheaths were damaged?,Signal speed would increase because less insulation means faster ion flow,Signal speed would remain the same since myelin only provides structural support,"Signal transmission would slow down or fail, as seen in multiple sclerosis",q3_c
17,10,How do hormones control the body?,How do hormones communicate between organs in the body?,Hormones travel through the bloodstream and bind to specific target cell receptors,Hormones travel through nerves and activate cells by direct electrical contact,Hormones are solid particles stored in organs and released as powder into blood,q1_a,Why is understanding the hormone receptor mechanism more useful than knowing hormones regulate the body?,Because all hormones bind to the same receptor so specificity does not matter,The mechanism explains why a hormone affects one organ but not all cells equally,Because the mechanism proves hormones only work in humans and higher mammals,q2_b,What would happen if the pancreas stopped producing insulin?,Blood sugar would fall to zero because the body would stop producing glucose,Blood sugar regulation would improve as the body would use alternative pathways,"Blood glucose would rise uncontrolled, leading to diabetes mellitus symptoms",q3_c
18,10,Why do we need reproduction?,What is the primary biological purpose of reproduction?,Reproduction ensures continuation of a species by producing new individuals,Reproduction allows individual organisms to live longer by sharing resources,Reproduction increases the intelligence of offspring through genetic accumulation,q1_a,Why is understanding reproductive mechanisms more useful than just knowing species reproduce?,Because reproduction is a simple process that requires no scientific explanation,Mechanisms explain sexual versus asexual strategies and their evolutionary advantages,"Because all reproduction is identical across bacteria, plants and humans anyway",q2_b,What would happen to a species if all its members became infertile?,The species would adapt quickly by switching to asexual reproduction instead,The species would survive indefinitely because adults would still be alive,The species would become extinct once existing individuals died with no offspring,q3_c
19,10,How does an embryo develop?,What drives embryo development from a single fertilised egg cell?,Cell division and differentiation guided by gene expression patterns create all organs,The embryo grows by absorbing fully formed organs from the mother's bloodstream,Embryo development is driven by electrical signals from the father's sperm DNA,q1_a,Why is understanding embryonic differentiation more useful than just knowing babies develop?,Because embryo development takes nine months so no mechanism is needed,"The mechanism explains birth defects, stem cell therapy and developmental disorders",Because all embryos follow different development paths with no shared mechanism,q2_b,What would happen if a critical developmental gene were switched off early in embryogenesis?,Development would continue normally because other genes always compensate immediately,"Only the embryo's colour pigmentation would change, leaving structure unaffected","A major organ or body structure could fail to form, causing developmental defects",q3_c
20,10,What causes genetic diseases?,What is the direct cause of most genetic diseases?,"Mutations or inherited faulty alleles alter the DNA sequence, disrupting normal gene function",Genetic diseases are caused by poor diet that chemically damages chromosomes,Genetic diseases result from viruses permanently rewriting large sections of DNA,q1_a,Why is understanding inheritance mechanisms more useful than just listing genetic diseases?,Because all genetic diseases are untreatable so understanding them serves no purpose,Knowing inheritance patterns predicts disease risk and informs genetic counselling,Because genetic diseases only occur randomly and no pattern can be identified,q2_b,What would happen if both parents carry one copy of a recessive disease gene?,All children would be healthy because recessive genes are always masked,No children would carry the gene since parents are merely carriers,Each child would have a 25% chance of inheriting two copies and showing the disease,q3_c
21,10,Electricity: what is actually moving?,What actually moves through a metal wire when electric current flows?,Free electrons drift through the metal lattice from the negative to positive terminal,Protons jump between atoms in the direction of conventional current flow,Positively charged ions flow through gaps in the crystal lattice structure,q1_a,Why is understanding electron drift more useful than just knowing current flows?,Because knowing current flows is enough to design any electrical circuit,"Electron drift explains resistance, heating effects and why insulators block current",Because electron drift only applies in DC circuits and not in household AC supply,q2_b,What would happen to current flow if the conductor's free electron density were halved?,Current would double because fewer electrons move faster through the wire,"Current would remain unchanged because voltage, not electron count, determines current",Current carrying capacity would reduce as fewer electrons are available to drift,q3_c
22,10,Why does resistance occur?,What causes electrical resistance in a conductor?,"Electrons collide with metal ions in the lattice, losing energy with each collision",Resistance is caused by electrons repelling each other and slowing each other down,Resistance occurs because positive current flows opposite to electron movement,q1_a,Why is understanding resistance mechanism more useful than just applying Ohm's Law?,Because Ohm's Law only works for resistors and never for real-world conductors,The mechanism explains why resistance increases with temperature and length of wire,Because Ohm's Law requires no mechanism since it is purely mathematical,q2_b,What would happen to a wire's resistance if its temperature increased significantly?,Resistance would decrease because hot metals become better electrical conductors,Resistance would remain the same because temperature only affects mechanical properties,Resistance would increase because ions vibrate more and block electron flow more,q3_c
23,10,How does household electricity work?,What type of current is used in household electricity and why?,Alternating current (AC) is used because it can be transmitted efficiently over long distances,Direct current (DC) is used in homes because it is safer than alternating current,Pulsed current is used in homes because it reduces energy loss in appliances,q1_a,Why is understanding AC supply and earthing more useful than just knowing plugs have three pins?,Because all countries use the same plug type so mechanism is universal everywhere,"The mechanism explains live, neutral and earth roles and how fuses protect circuits",Because understanding AC means you can always repair electrical faults without tools,q2_b,What would happen to household appliances if supply voltage suddenly doubled?,Appliances would work better because more voltage provides more useful energy,Appliances would switch to safe mode automatically using built-in regulators,"Excess current would flow through appliances, potentially burning out components",q3_c
24,10,How does an electric motor work?,What is the core principle that makes an electric motor rotate?,"A current-carrying conductor in a magnetic field experiences a force, causing rotation",An electric motor rotates because alternating current creates a spinning voltage,The motor rotates because electrical charge accumulates on one side of the coil,q1_a,Why is understanding the force on a current-carrying conductor more useful than just knowing motors turn?,Because motors are now obsolete and have been replaced by digital actuators,"The mechanism explains motor speed control, direction reversal and torque production","Because the principle only applies to toy motors, not industrial electric motors",q2_b,What would happen to a motor's speed if the strength of the magnetic field were increased?,Speed would decrease because a stronger field creates more opposition to rotation,Speed would be unaffected because only voltage determines how fast a motor turns,Speed would increase because a stronger field exerts a greater force on the coil,q3_c
25,10,How does electromagnetic induction work?,What causes electromagnetic induction to produce a current?,A changing magnetic field through a conductor induces an electromotive force (EMF),A static magnet placed near a wire permanently induces a constant current,Induction occurs when two wires carrying current are connected in parallel,q1_a,Why is understanding Faraday's induction mechanism more useful than knowing generators exist?,Because Faraday's law is too complex for practical use in designing generators,"The mechanism explains how generators, transformers and wireless chargers all work",Because induction only works in generators and cannot be applied elsewhere,q2_b,What would happen to induced EMF if the coil rotated twice as fast inside the magnetic field?,Induced EMF would halve because faster rotation reduces each magnetic flux change,Induced EMF would remain the same because only the magnet's strength matters,Induced EMF would increase because the rate of change of magnetic flux increases,q3_c
26,10,How does a camera see?,How does a camera capture an image?,"A lens focuses light onto a sensor or film, forming an inverted real image",A camera captures images by detecting electrical signals from light-emitting objects,Light is absorbed by the camera body and chemically converted into colour patterns,q1_a,Why is understanding lens refraction and focus more useful than just knowing cameras take photos?,Because all cameras are identical and no understanding is needed to use them,"The mechanism explains aperture, focal length, depth of field and image sharpness",Because understanding optics only applies to film cameras and not digital ones,q2_b,What would happen to a camera image if the lens were replaced with a much shorter focal length?,The image would be identical because focal length only affects camera weight,The image would be darker because shorter lenses block more incoming light,The field of view would be wider and objects would appear smaller in the frame,q3_c
27,10,How does the human eye see?,How does the human eye form a clear image on the retina?,"The lens changes shape to focus light onto the retina, a process called accommodation",The retina emits signals that travel outward and reflect back from objects to form images,The pupil focuses light by expanding and contracting to bend rays onto the cornea,q1_a,Why is understanding accommodation and refraction more useful than just knowing eyes see?,Because accommodation is only relevant for children and does not apply to adults,"The mechanism explains short-sightedness, long-sightedness and how spectacles correct them",Because the eye's mechanism is identical to a camera and no extra explanation is needed,q2_b,What would happen to vision if the eye's lens became too stiff to change shape?,Vision would improve because a rigid lens provides a more stable focus,Vision would be unaffected because the cornea alone handles all focusing,"The eye could not focus at different distances, causing blurred near or far vision",q3_c
28,10,Why can't we see atoms with ordinary microscopes?,Why do ordinary light microscopes fail to image individual atoms?,"Atoms are smaller than the wavelength of visible light, so light cannot resolve them","Atoms are transparent to all light, so they cannot reflect any photons to the lens",Ordinary lenses overheat at high magnification before atoms become visible,q1_a,Why is understanding the resolution limit of light microscopes more useful than just knowing they exist?,Because all microscopes have exactly the same resolution limit regardless of type,The mechanism explains why electron microscopes and STMs were developed to image atoms,Because light microscopes are outdated and no longer used in any scientific laboratory,q2_b,What would happen to microscope resolution if you used ultraviolet light instead of visible light?,Resolution would worsen because UV light has longer wavelength than visible light,Resolution would be the same because wavelength has no effect on microscope quality,Resolution would improve because UV light has a shorter wavelength than visible light,q3_c
29,10,The physics of nuclear energy,Where does the enormous energy released in nuclear reactions come from?,Energy comes from mass converted to energy via Einstein's equation E = mc²,Nuclear energy comes from electrons moving between energy levels in the nucleus,The energy comes from chemical bonds in the nucleus being broken by heat,q1_a,Why is understanding nuclear fission and fusion mechanisms more useful than just knowing they produce energy?,Because fission and fusion produce identical amounts of energy by different routes,"The mechanism explains radiation hazards, reactor design and waste management needs",Because nuclear energy is banned worldwide so understanding it serves no practical purpose,q2_b,What would happen to the energy released if a heavier nucleus were split instead of uranium-235?,Less energy would be released because heavier nuclei are more stable and hard to split,Energy released would be identical regardless of which nucleus undergoes fission,Energy output depends on mass defect; some heavier nuclei can release more energy,q3_c
30,10,Ultimate Challenge: Solve a real-world science problem using Class 10 concepts,Which Class 10 concept best explains why a solar panel generates electricity from sunlight?,"Photoelectric effect: photons knock electrons free, creating current in the circuit",Electromagnetic induction: sunlight spins a coil inside a magnetic field,Chemical reactions: sunlight converts silicon into electrical charge carriers,q1_a,Why is applying multiple Class 10 concepts to a single real-world problem more powerful than one concept alone?,Because real problems always have exactly one cause and one solution only,Real systems involve overlapping mechanisms: combining concepts leads to deeper solutions,Because Class 10 concepts are all identical and combining them changes nothing,q2_b,What would happen to electric power output of a solar panel on a cloudy day?,Output would be identical because solar panels use reflected ground light not direct sunlight,Output would increase because cloud cover reduces temperature and improves panel efficiency,Output would decrease because fewer photons reach the panel to generate the photoelectric effect,q3_c
1,11,How scientists actually measure the universe,Which tool do scientists use to measure extremely large astronomical distances?,Parallax method using Earth's orbit as a baseline,Standard rulers calibrated against laboratory laser measurements,Direct radar pulses bounced off distant galaxies,q1_a,Why is identifying the underlying mechanism more scientifically useful than memorising a result?,Mechanisms are always simpler to remember than numerical results,A mechanism explains cause-and-effect and allows prediction in new situations,Mechanisms replace the need for experimental data entirely,q2_b,"If the baseline used for stellar parallax were doubled, what would happen to the measurable distance range?",The measurable range would halve because parallax angle decreases,The measurable range would stay the same since angle is absolute,The measurable range would roughly double as the parallax angle increases,q3_c
2,11,Why dimensions and units matter,What does dimensional analysis allow a scientist to check about an equation?,Whether both sides have the same physical dimensions,Whether the numerical coefficients are correct,Whether the variables are measured with SI instruments,q1_a,Why is using consistent units more useful than simply knowing a formula by heart?,Consistent units eliminate the need for significant figures,Consistent units allow the cause-and-effect chain to be traced and errors to be predicted,Consistent units make all physical constants equal to one,q2_b,"If a physicist switches from metres to centimetres in one term of an equation but not others, what is the likely outcome?",The answer will be correct because values are proportional,"Only the units of the final answer will change, not the numerical value","The equation becomes dimensionally inconsistent, producing an incorrect result",q3_c
3,11,Vectors: the mathematics of direction,How does a vector quantity differ from a scalar quantity?,A vector has both magnitude and direction; a scalar has magnitude only,A vector is always larger in value than its equivalent scalar,A scalar requires two numbers to specify; a vector requires only one,q1_a,Why is using vector addition more useful than simple arithmetic addition for forces?,Vector addition gives a larger resultant because it accounts for angles,Vector addition reveals the actual net effect by accounting for both magnitude and direction,Vector addition eliminates the need for trigonometry in physics problems,q2_b,"If two equal forces are applied to an object at 180 degrees to each other, what is the net force?","The net force equals the sum of the two magnitudes, acting in one direction",The net force equals twice the magnitude of either force,The net force is zero because the vectors cancel each other,q3_c
4,11,What does velocity really mean?,What distinguishes velocity from speed?,Velocity is a vector quantity specifying both magnitude and direction of motion,Velocity is always numerically greater than speed for the same motion,Speed specifies direction while velocity gives only the rate of distance covered,q1_a,Why is knowing an object's velocity more useful than knowing only its speed?,"Velocity is always measured in SI units, making it more reliable","Velocity reveals direction of motion, enabling prediction of future position",Velocity removes the need to measure time intervals during motion,q2_b,A car travels 60 km east then 60 km west. What is its average velocity for the whole journey?,"60 km/h east, because only the forward displacement counts","120 km divided by total time, giving a large positive value","Zero, because the total displacement is zero",q3_c
5,11,Why objects accelerate,What causes an object to accelerate according to Newton's second law?,A net unbalanced force acting on the object,The object's inherent tendency to speed up over time,An increase in the object's mass during motion,q1_a,Why is understanding the net force more useful than knowing an object's instantaneous speed?,Net force tells us the mass of the object without measuring it,Net force reveals the cause-and-effect mechanism that predicts how motion will change,Net force is constant for all objects regardless of mass,q2_b,"If the net force on an object is doubled while its mass stays the same, what happens to acceleration?",Acceleration halves because force and acceleration are inversely proportional,Acceleration remains unchanged since mass has not changed,"Acceleration doubles, since a = F/m and F has doubled",q3_c
6,11,Newton's laws in the real world,Which of Newton's laws explains why a passenger lurches forward when a bus brakes suddenly?,Newton's first law: the passenger's body continues moving forward due to inertia,Newton's third law: the bus pushes the passenger in the direction of motion,Newton's second law: braking creates a backward force that multiplies passenger mass,q1_a,Why is Newton's third law more useful than just knowing a force's magnitude?,Newton's third law removes the need to measure friction in real systems,"It reveals that every interaction involves paired equal-and-opposite forces, enabling prediction",It shows that action forces are always greater than reaction forces in practice,q2_b,"If a rocket expels exhaust gases at a higher speed, how does that affect the rocket's thrust?",Thrust decreases because faster exhaust reduces mass flow rate,Thrust stays the same since the rocket mass has not changed,Thrust increases because greater exhaust momentum produces a larger reaction force,q3_c
7,11,Why astronauts feel weightless,Why do astronauts in orbit feel weightless despite gravity still acting on them?,"They are in free fall, so no normal contact force acts on them",Gravity becomes zero at orbital altitude above Earth's surface,The spacecraft generates an anti-gravity field that cancels Earth's pull,q1_a,Why is understanding free fall more useful than saying 'there is no gravity in space'?,Free fall allows astronauts to produce gravity by spinning the spacecraft,Free fall correctly identifies the mechanism: gravity acts but no surface reaction force exists,Free fall proves that gravity diminishes to zero within 200 km of Earth,q2_b,"If the orbital speed of a spacecraft were suddenly reduced, what would happen?",The spacecraft would float outward into a higher orbit due to reduced centripetal force,Gravity would still not affect the spacecraft since it is already in orbit,The spacecraft would fall toward Earth as gravity is no longer balanced by orbital velocity,q3_c
8,11,Conservation of momentum,"In an isolated system, what happens to total momentum when two objects collide?",Total momentum is conserved; it remains constant before and after collision,Total momentum increases because kinetic energy is transferred between objects,Total momentum decreases due to the heat generated during impact,q1_a,Why is the conservation of momentum principle more useful than simply measuring impact forces?,Momentum conservation eliminates the need to measure mass in any calculation,It provides a cause-and-effect law that predicts outcomes without knowing collision details,"Impact forces are always greater than momentum changes, making forces irrelevant",q2_b,"If a stationary ball of mass 2 kg is hit by a 1 kg ball moving at 4 m/s and they stick together, what is the final speed?","4 m/s, because the moving ball transfers all its speed to the system","2 m/s, because speed is shared equally between the two balls","Approximately 1.33 m/s, from conservation of momentum (4 kg m/s / 3 kg)",q3_c
9,11,How rockets work,Which physical principle explains how a rocket accelerates in the vacuum of space?,Newton's third law: exhaust gases pushed backward propel the rocket forward,Bernoulli's principle: faster gas flow below the rocket creates upward lift,Archimedes' principle: the rocket displaces air to generate buoyant thrust,q1_a,Why is understanding rocket propulsion through Newton's third law more useful than knowing fuel burn rate?,Newton's third law shows that rockets can operate without fuel in deep space,It reveals the cause-and-effect mechanism linking exhaust momentum to rocket acceleration,Fuel burn rate is irrelevant since thrust depends only on exhaust temperature,q2_b,"If a rocket expels the same exhaust mass but at twice the velocity, how does thrust change?",Thrust halves because the exhaust takes longer to leave the engine,Thrust is unchanged since mass flow rate is the same,Thrust doubles because momentum of exhaust is proportional to its velocity,q3_c
10,11,Rotational motion: why wheels matter,What is the rotational equivalent of linear inertia called?,"Moment of inertia, which depends on mass distribution about the rotation axis","Angular velocity, which measures how fast the object completes each rotation","Torque, which is the rotational form of linear momentum",q1_a,Why is understanding torque more useful than knowing only a wheel's rotational speed?,Torque indicates the colour of the rotational field around the wheel,"Torque explains the cause of rotation, enabling prediction of angular acceleration",Torque replaces the need to measure angular displacement in wheel design,q2_b,"If the radius at which a force is applied to a wheel is doubled, what happens to the torque produced?",Torque halves because the moment arm becomes less efficient at greater distances,Torque stays the same since only the applied force determines rotation,Torque doubles because torque = force multiplied by perpendicular distance,q3_c
11,11,Why does a spinning top stay upright?,What physical phenomenon keeps a spinning top from falling over?,Gyroscopic effect: angular momentum resists changes to the axis of rotation,Surface tension between the tip and the floor prevents tilting,Bernoulli pressure differences above and below the top create upward lift,q1_a,Why does understanding angular momentum conservation explain a top's stability better than friction alone?,Angular momentum always equals zero when friction is present,It reveals the mechanism: large angular momentum makes the axis resist reorientation,Friction provides enough upward force to counteract gravity on the top,q2_b,"As a spinning top slows down, why does it begin to wobble and eventually fall?","Slower spin increases surface tension, pulling the tip sideways",Reduced friction at the tip allows gravity to push the top upward,"Reduced angular momentum means less resistance to gravitational torque, causing precession and fall",q3_c
12,11,Energy and the laws of nature,What does the law of conservation of energy state?,Energy cannot be created or destroyed; it only changes from one form to another,Energy is always lost as heat in every physical process,Total energy in a system increases whenever work is done on it,q1_a,Why is energy conservation more useful than tracking the motion of every particle?,Energy conservation lets us ignore mass during all physical calculations,It provides a universal cause-and-effect law that predicts outcomes across all processes,Energy conservation proves that no process can ever produce useful work,q2_b,"If all kinetic energy of a falling ball is converted to heat on impact, what happens to total mechanical energy?",Total energy increases because heat adds extra energy to the system,Mechanical energy is conserved because heat is just another form of kinetic energy,Mechanical energy decreases but total energy (including heat) remains conserved,q3_c
